epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202148,DE,10,0.42857142857142855,3.4285714285714284,-10.833333333333334,-29.285714285714285,-16.285714285714285,4.857142857142857,205.0,9.0,715085.0,602363.0,,241.0,42.0,2194.0,21.0,155922.0,3515.0,43099.0,4197.0,47306.0
202149,DE,10,0.2857142857142857,3.5714285714285716,-14.833333333333334,-35.0,-15.0,4.857142857142857,243.0,10.0,726066.0,610222.0,,223.0,22.0,2218.0,24.0,160124.0,4202.0,45409.0,4905.0,50331.0
202150,DE,10,5.142857142857143,7.142857142857143,-6.666666666666667,-34.714285714285715,-14.714285714285714,4.428571428571429,307.0,13.0,734499.0,617390.0,,238.33333333333331,34.333333333333336,2242.0,24.0,164923.0,4799.0,47368.0,5713.0,53107.0
202151,DE,10,-1.4285714285714286,10.714285714285714,-18.666666666666668,-39.285714285714285,-36.142857142857146,8.142857142857142,276.0,10.0,742720.0,622773.0,,229.66666666666663,23.666666666666668,2271.0,29.0,171563.0,6640.0,50913.0,7904.0,58838.0
202152,DE,10,-5.142857142857143,-0.8571428571428571,-11.833333333333334,-39.42857142857143,-42.142857142857146,12.285714285714286,423.0,17.0,747929.0,625661.0,,234.0,31.33333333333333,2286.0,15.0,183880.0,12317.0,41798.0,15731.0,57588.0
202201,DE,10,-20.285714285714285,-6.714285714285714,-35.0,-47.714285714285715,-32.714285714285715,14.142857142857142,676.0,9.0,753976.0,628955.0,,245.0,42.66666666666666,2365.0,79.0,202236.0,18356.0,53068.0,24285.0,77398.0
202202,DE,10,-15.0,-4.428571428571429,-29.333333333333332,-47.285714285714285,-22.285714285714285,9.714285714285714,693.0,6.0,761689.0,633330.0,,272.0,68.0,2424.0,59.0,225094.0,22858.0,44931.0,17766.0,62759.0
202203,DE,10,-17.0,-8.857142857142858,-30.5,-49.0,-24.571428571428573,9.857142857142858,511.0,5.0,774206.0,640070.0,,316.3333333333333,113.33333333333331,2480.0,56.0,238501.0,13407.0,42551.0,13103.0,55709.0
202204,DE,10,-20.142857142857142,-8.857142857142858,-21.0,-49.142857142857146,-25.428571428571427,9.857142857142858,414.0,1.0,780921.0,643874.0,,283.0,78.0,2531.0,51.0,246959.0,8458.0,34288.0,7122.0,41441.0
202205,DE,10,-13.142857142857142,-7.857142857142857,-27.833333333333332,-45.142857142857146,-18.857142857142858,8.0,304.0,0.0,785635.0,647425.0,,248.0,43.0,2576.0,45.0,250756.0,3797.0,32778.0,4148.0,36958.0
